#           k/h    P           
   0.880068E-01   0.253060E+04
   0.897847E-01   0.238108E+04
   0.915985E-01   0.223214E+04
   0.934489E-01   0.208413E+04
   0.953367E-01   0.193754E+04
   0.972626E-01   0.179295E+04
   0.992274E-01   0.165109E+04
   0.101232E+00   0.151272E+04
   0.103277E+00   0.137868E+04
   0.105363E+00   0.124982E+04
   0.107492E+00   0.112696E+04
   0.109663E+00   0.101087E+04
   0.111879E+00   0.902210E+03
   0.114139E+00   0.801520E+03
   0.116445E+00   0.709172E+03
   0.118797E+00   0.625364E+03
   0.121197E+00   0.550112E+03
   0.123645E+00   0.483246E+03
   0.126143E+00   0.424432E+03
   0.128691E+00   0.373188E+03
   0.131291E+00   0.328915E+03
   0.133943E+00   0.290925E+03
   0.136649E+00   0.258476E+03
   0.139409E+00   0.230800E+03
   0.142226E+00   0.207129E+03
   0.145099E+00   0.186717E+03
   0.148030E+00   0.168861E+03
   0.151020E+00   0.152918E+03
   0.154071E+00   0.138326E+03
   0.157184E+00   0.124618E+03
   0.160359E+00   0.111445E+03
   0.163598E+00   0.985859E+02
   0.166903E+00   0.859572E+02
   0.170275E+00   0.736081E+02
   0.173715E+00   0.617007E+02
   0.177224E+00   0.504746E+02
   0.180804E+00   0.401994E+02
   0.184457E+00   0.311226E+02
   0.188183E+00   0.234216E+02
   0.191985E+00   0.171714E+02
   0.195863E+00   0.123335E+02
   0.199820E+00   0.877017E+01
   0.203856E+00   0.627613E+01
   0.207974E+00   0.462023E+01
   0.212176E+00   0.358273E+01
   0.216462E+00   0.297880E+01
   0.220835E+00   0.266408E+01
   0.225296E+00   0.252613E+01
   0.229847E+00   0.247099E+01
   0.234490E+00   0.241545E+01
   0.239227E+00   0.229054E+01
   0.244060E+00   0.205425E+01
   0.248990E+00   0.170434E+01
   0.254020E+00   0.128062E+01
   0.259152E+00   0.850915E+00
   0.264387E+00   0.484614E+00
   0.269728E+00   0.225859E+00
   0.275177E+00   0.798356E-01
   0.280736E+00   0.187345E-01
   0.286407E+00   0.244146E-02
   0.292193E+00   0.461227E-03
   0.298096E+00   0.194920E-02
   0.304118E+00   0.100141E-01
   0.310261E+00   0.279141E-01
   0.316529E+00   0.497299E-01
   0.322923E+00   0.627824E-01
   0.329447E+00   0.581457E-01
   0.336102E+00   0.385870E-01
   0.342892E+00   0.162859E-01
   0.349819E+00   0.270667E-02
   0.356885E+00   0.129476E-03
   0.364095E+00   0.268651E-02
   0.371450E+00   0.357798E-02
   0.378954E+00   0.161100E-02
   0.386609E+00   0.435320E-05
   0.394419E+00   0.108152E-02
   0.402387E+00   0.330318E-02
   0.410516E+00   0.384753E-02
   0.418809E+00   0.222191E-02
   0.427269E+00   0.423496E-03
   0.435901E+00   0.389922E-04
   0.444706E+00   0.529350E-03
   0.453690E+00   0.637870E-03
   0.462855E+00   0.219793E-03
   0.472206E+00   0.178594E-06
   0.481745E+00   0.200683E-03
   0.491477E+00   0.343451E-03
   0.501405E+00   0.186587E-03
   0.511534E+00   0.129136E-04
   0.521868E+00   0.278708E-04
   0.532411E+00   0.774256E-04
   0.543166E+00   0.384569E-04
   0.554139E+00   0.119905E-06
   0.565333E+00   0.191528E-04
   0.576753E+00   0.295682E-04
   0.588404E+00   0.882844E-05
   0.600291E+00   0.343446E-06
   0.612418E+00   0.677353E-05
   0.624789E+00   0.450918E-05
   0.637411E+00   0.103695E-07
   0.650288E+00   0.188213E-05
   0.663424E+00   0.210681E-05
   0.676826E+00   0.163072E-06
   0.690499E+00   0.364652E-06
   0.704448E+00   0.576086E-06
   0.718679E+00   0.407867E-07
   0.733197E+00   0.116060E-06
   0.748009E+00   0.137679E-06
   0.763119E+00   0.266262E-09
   0.778536E+00   0.617142E-07
   0.794263E+00   0.395863E-07
   0.810308E+00   0.185616E-09
   0.826677E+00   0.596871E-07
   0.843378E+00   0.268572E-07
   0.860415E+00   0.234494E-08
   0.877797E+00   0.126190E-08
   0.895529E+00   0.163229E-08
   0.913620E+00   0.173945E-08
   0.932076E+00   0.867328E-09
   0.950906E+00   0.157489E-09
   0.970115E+00   0.312124E-10
   0.989713E+00   0.287614E-10
   0.100971E+01   0.748685E-10
   0.103010E+01   0.825732E-10
   0.105091E+01   0.281951E-10
   0.107214E+01   0.221421E-10
   0.109380E+01   0.139824E-09
   0.111590E+01   0.164127E-08
   0.113844E+01   0.670340E-08
   0.116144E+01   0.103786E-07
   0.118490E+01   0.127157E-07
   0.120884E+01   0.159588E-07
   0.123326E+01   0.183284E-07
   0.125817E+01   0.186383E-07
   0.128359E+01   0.186067E-07
   0.130952E+01   0.195514E-07
   0.133597E+01   0.201743E-07
   0.136296E+01   0.189509E-07
   0.139049E+01   0.172387E-07
   0.141858E+01   0.169678E-07
   0.144724E+01   0.178820E-07
   0.147648E+01   0.180853E-07
   0.150630E+01   0.168057E-07
   0.153673E+01   0.153471E-07
   0.156778E+01   0.145378E-07
   0.159945E+01   0.139646E-07
   0.163176E+01   0.131460E-07
   0.166472E+01   0.120905E-07
   0.169835E+01   0.109746E-07
   0.173266E+01   0.988790E-08
