#           k/h    P           
   0.650288E+00   0.729353E-12
   0.663424E+00   0.240067E-11
   0.676826E+00   0.442817E-11
   0.690499E+00   0.134684E-11
   0.704448E+00   0.577559E-12
   0.718679E+00   0.233908E-12
   0.733197E+00   0.539355E-13
   0.748009E+00   0.185329E-13
   0.763119E+00   0.345069E-13
   0.778536E+00   0.229301E-12
   0.794263E+00   0.120338E-11
   0.810308E+00   0.198860E-11
   0.826677E+00   0.880444E-12
   0.843378E+00   0.157985E-12
   0.860415E+00   0.632545E-13
   0.877797E+00   0.229312E-12
   0.895529E+00   0.238289E-11
   0.913620E+00   0.113997E-10
   0.932076E+00   0.188731E-10
   0.950906E+00   0.215951E-10
   0.970115E+00   0.241141E-10
   0.989713E+00   0.237638E-10
   0.100971E+01   0.201524E-10
   0.103010E+01   0.183724E-10
   0.105091E+01   0.216928E-10
   0.107214E+01   0.276820E-10
   0.109380E+01   0.290728E-10
   0.111590E+01   0.250365E-10
   0.113844E+01   0.208596E-10
   0.116144E+01   0.195311E-10
   0.118490E+01   0.233340E-10
   0.120884E+01   0.343824E-10
   0.123326E+01   0.413145E-10
   0.125817E+01   0.292919E-10
   0.128359E+01   0.182298E-10
   0.130952E+01   0.174697E-10
   0.133597E+01   0.236940E-10
   0.136296E+01   0.282161E-10
   0.139049E+01   0.248263E-10
   0.141858E+01   0.197029E-10
   0.144724E+01   0.163003E-10
   0.147648E+01   0.135692E-10
   0.150630E+01   0.107952E-10
   0.153673E+01   0.816902E-11
   0.156778E+01   0.595990E-11
   0.159945E+01   0.443479E-11
   0.163176E+01   0.363759E-11
   0.166472E+01   0.304743E-11
   0.169835E+01   0.201528E-11
   0.173266E+01   0.105664E-11
   0.176766E+01   0.828705E-12
   0.180337E+01   0.154350E-11
   0.183980E+01   0.308065E-11
   0.187697E+01   0.233218E-11
   0.191489E+01   0.100822E-11
   0.195357E+01   0.868685E-12
   0.199304E+01   0.166280E-11
   0.203330E+01   0.205835E-11
   0.207437E+01   0.979306E-12
   0.211628E+01   0.644769E-12
   0.215903E+01   0.147218E-11
   0.220265E+01   0.160232E-11
   0.224714E+01   0.742466E-13
   0.229254E+01   0.118457E-14
   0.233885E+01   0.676382E-15
   0.238610E+01   0.199933E-13
   0.243430E+01   0.311851E-12
   0.248348E+01   0.166264E-12
   0.253365E+01   0.233071E-13
   0.258483E+01   0.797195E-14
   0.263705E+01   0.704935E-14
   0.269032E+01   0.919274E-14
   0.274466E+01   0.116345E-13
   0.280011E+01   0.104218E-13
   0.285668E+01   0.822206E-14
   0.291439E+01   0.129831E-13
   0.297326E+01   0.426655E-13
