#           k/h    P           
   0.102744E+02   0.161512E-16
   0.104820E+02   0.654411E-16
   0.106938E+02   0.544054E-15
   0.109098E+02   0.327828E-14
   0.111302E+02   0.929436E-14
   0.113550E+02   0.911255E-14
   0.115844E+02   0.237821E-14
   0.118184E+02   0.142026E-15
   0.120572E+02   0.754784E-17
   0.123007E+02   0.463889E-17
   0.125492E+02   0.553525E-16
   0.128027E+02   0.761806E-15
   0.130614E+02   0.131332E-14
   0.133252E+02   0.604554E-15
   0.135944E+02   0.255561E-15
   0.138691E+02   0.131302E-15
   0.141492E+02   0.722266E-16
   0.144351E+02   0.441567E-16
   0.147267E+02   0.359469E-16
   0.150242E+02   0.451071E-16
   0.153277E+02   0.944967E-16
   0.156373E+02   0.273254E-15
   0.159532E+02   0.357830E-15
   0.162755E+02   0.739892E-16
   0.166043E+02   0.634199E-17
   0.169397E+02   0.140539E-17
   0.172819E+02   0.129821E-17
   0.176310E+02   0.232415E-17
   0.179872E+02   0.394855E-17
   0.183505E+02   0.371648E-17
   0.187212E+02   0.161438E-17
   0.190994E+02   0.950065E-18
   0.194853E+02   0.237704E-17
   0.198789E+02   0.122543E-16
   0.202805E+02   0.266260E-16
   0.206902E+02   0.160209E-16
