#           k/h    P           
   0.810308E+00   0.476854E-02
   0.826677E+00   0.455833E-02
   0.843378E+00   0.435701E-02
   0.860415E+00   0.416419E-02
   0.877797E+00   0.397951E-02
   0.895529E+00   0.380267E-02
   0.913620E+00   0.363337E-02
   0.932076E+00   0.347132E-02
   0.950906E+00   0.331620E-02
   0.970115E+00   0.316773E-02
   0.989713E+00   0.302565E-02
   0.100971E+01   0.288969E-02
   0.103010E+01   0.275960E-02
   0.105091E+01   0.263513E-02
   0.107214E+01   0.251606E-02
   0.109380E+01   0.240217E-02
   0.111590E+01   0.229323E-02
   0.113844E+01   0.218907E-02
   0.116144E+01   0.208947E-02
   0.118490E+01   0.199424E-02
   0.120884E+01   0.190321E-02
   0.123326E+01   0.181619E-02
   0.125817E+01   0.173301E-02
   0.128359E+01   0.165351E-02
   0.130952E+01   0.157753E-02
   0.133597E+01   0.150493E-02
   0.136296E+01   0.143556E-02
   0.139049E+01   0.136928E-02
   0.141858E+01   0.130598E-02
   0.144724E+01   0.124551E-02
   0.147648E+01   0.118775E-02
   0.150630E+01   0.113259E-02
   0.153673E+01   0.107991E-02
   0.156778E+01   0.102961E-02
   0.159945E+01   0.981579E-03
   0.163176E+01   0.935727E-03
   0.166472E+01   0.891958E-03
   0.169835E+01   0.850178E-03
   0.173266E+01   0.810300E-03
   0.176766E+01   0.772240E-03
   0.180337E+01   0.735917E-03
   0.183980E+01   0.701257E-03
   0.187697E+01   0.668186E-03
   0.191489E+01   0.636635E-03
   0.195357E+01   0.606534E-03
   0.199304E+01   0.577820E-03
   0.203330E+01   0.550430E-03
   0.207437E+01   0.524304E-03
   0.211628E+01   0.499389E-03
   0.215903E+01   0.475629E-03
   0.220265E+01   0.452972E-03
   0.224714E+01   0.431367E-03
   0.229254E+01   0.410768E-03
   0.233885E+01   0.391130E-03
   0.238610E+01   0.372409E-03
   0.243430E+01   0.354563E-03
   0.248348E+01   0.337553E-03
   0.253365E+01   0.321340E-03
   0.258483E+01   0.305889E-03
   0.263705E+01   0.291165E-03
   0.269032E+01   0.277133E-03
   0.274466E+01   0.263764E-03
   0.280011E+01   0.251025E-03
   0.285668E+01   0.238889E-03
   0.291439E+01   0.227327E-03
   0.297326E+01   0.216313E-03
   0.303332E+01   0.205822E-03
   0.309460E+01   0.195829E-03
   0.315712E+01   0.186312E-03
   0.322090E+01   0.177248E-03
   0.328596E+01   0.168616E-03
   0.335234E+01   0.160397E-03
   0.342006E+01   0.152571E-03
   0.348916E+01   0.145119E-03
   0.355964E+01   0.138024E-03
   0.363155E+01   0.131270E-03
   0.370491E+01   0.124840E-03
   0.377976E+01   0.118719E-03
   0.385611E+01   0.112893E-03
   0.393401E+01   0.107347E-03
   0.401348E+01   0.102070E-03
   0.409456E+01   0.970468E-04
   0.417727E+01   0.922669E-04
   0.426166E+01   0.877183E-04
   0.434775E+01   0.833902E-04
   0.443558E+01   0.792720E-04
   0.452519E+01   0.753538E-04
   0.461660E+01   0.716260E-04
   0.470987E+01   0.680797E-04
   0.480501E+01   0.647060E-04
   0.490208E+01   0.614969E-04
   0.500111E+01   0.584444E-04
   0.510214E+01   0.555410E-04
   0.520521E+01   0.527795E-04
   0.531036E+01   0.501533E-04
   0.541763E+01   0.476557E-04
   0.552708E+01   0.452806E-04
   0.563873E+01   0.430221E-04
   0.575264E+01   0.408746E-04
   0.586885E+01   0.388327E-04
   0.598741E+01   0.368913E-04
   0.610836E+01   0.350456E-04
   0.623176E+01   0.332909E-04
   0.635765E+01   0.316227E-04
   0.648609E+01   0.300370E-04
   0.661711E+01   0.285297E-04
   0.675079E+01   0.270970E-04
   0.688716E+01   0.257353E-04
   0.702629E+01   0.244410E-04
   0.716823E+01   0.232110E-04
   0.731304E+01   0.220420E-04
   0.746077E+01   0.209311E-04
   0.761149E+01   0.198755E-04
   0.776525E+01   0.188725E-04
   0.792212E+01   0.179194E-04
   0.808217E+01   0.170138E-04
   0.824543E+01   0.161534E-04
   0.841200E+01   0.153360E-04
   0.858193E+01   0.145594E-04
   0.875530E+01   0.138216E-04
   0.893217E+01   0.131208E-04
   0.911261E+01   0.124551E-04
   0.929670E+01   0.118228E-04
   0.948451E+01   0.112221E-04
   0.967610E+01   0.106517E-04
   0.987158E+01   0.101099E-04
   0.100710E+02   0.959529E-05
   0.102744E+02   0.910661E-05
   0.104820E+02   0.864253E-05
   0.106938E+02   0.820184E-05
   0.109098E+02   0.778337E-05
