#    L    TT             EE             TE          
   246   0.591794E+04   0.169626E+01   0.478343E+02
   247   0.590497E+04   0.175664E+01   0.495814E+02
   248   0.589143E+04   0.181910E+01   0.513258E+02
   249   0.587732E+04   0.188365E+01   0.530669E+02
   250   0.586265E+04   0.195032E+01   0.548041E+02
   251   0.584741E+04   0.201909E+01   0.565363E+02
   252   0.583160E+04   0.208999E+01   0.582630E+02
   253   0.581524E+04   0.216304E+01   0.599834E+02
   254   0.579832E+04   0.223826E+01   0.616964E+02
   255   0.578084E+04   0.231566E+01   0.634013E+02
   256   0.576281E+04   0.239525E+01   0.650974E+02
   257   0.574423E+04   0.247706E+01   0.667839E+02
   258   0.572512E+04   0.256108E+01   0.684598E+02
   259   0.570549E+04   0.264733E+01   0.701256E+02
   260   0.568535E+04   0.273583E+01   0.717789E+02
   261   0.566470E+04   0.282658E+01   0.734204E+02
   262   0.564357E+04   0.291959E+01   0.750486E+02
   263   0.562196E+04   0.301487E+01   0.766636E+02
   264   0.559989E+04   0.311243E+01   0.782637E+02
   265   0.557733E+04   0.321226E+01   0.798497E+02
   266   0.555432E+04   0.331436E+01   0.814192E+02
   267   0.553085E+04   0.341873E+01   0.829716E+02
   268   0.550692E+04   0.352538E+01   0.845076E+02
   269   0.548254E+04   0.363430E+01   0.860248E+02
   270   0.545771E+04   0.374548E+01   0.875239E+02
   271   0.543246E+04   0.385894E+01   0.890028E+02
   272   0.540677E+04   0.397465E+01   0.904620E+02
   273   0.538067E+04   0.409260E+01   0.919002E+02
   274   0.535416E+04   0.421279E+01   0.933179E+02
   275   0.532724E+04   0.433522E+01   0.947130E+02
   276   0.529994E+04   0.445986E+01   0.960861E+02
   277   0.527226E+04   0.458672E+01   0.974357E+02
   278   0.524420E+04   0.471577E+01   0.987610E+02
   279   0.521579E+04   0.484700E+01   0.100063E+03
   280   0.518702E+04   0.498038E+01   0.101339E+03
   281   0.515790E+04   0.511590E+01   0.102591E+03
   282   0.512845E+04   0.525354E+01   0.103817E+03
   283   0.509868E+04   0.539329E+01   0.105015E+03
   284   0.506858E+04   0.553512E+01   0.106187E+03
   285   0.503818E+04   0.567900E+01   0.107331E+03
   286   0.500747E+04   0.582492E+01   0.108447E+03
   287   0.497648E+04   0.597283E+01   0.109535E+03
   288   0.494520E+04   0.612273E+01   0.110594E+03
   289   0.491365E+04   0.627458E+01   0.111623E+03
   290   0.488184E+04   0.642835E+01   0.112622E+03
   291   0.484979E+04   0.658404E+01   0.113592E+03
   292   0.481748E+04   0.674151E+01   0.114530E+03
   293   0.478494E+04   0.690085E+01   0.115438E+03
   294   0.475217E+04   0.706200E+01   0.116313E+03
   295   0.471918E+04   0.722482E+01   0.117157E+03
   296   0.468598E+04   0.738940E+01   0.117968E+03
   297   0.465257E+04   0.755559E+01   0.118746E+03
   298   0.461897E+04   0.772342E+01   0.119490E+03
   299   0.458518E+04   0.789280E+01   0.120201E+03
   300   0.455122E+04   0.806369E+01   0.120878E+03
   301   0.451709E+04   0.823616E+01   0.121521E+03
   302   0.448282E+04   0.840999E+01   0.122130E+03
   303   0.444840E+04   0.858528E+01   0.122704E+03
   304   0.441386E+04   0.876196E+01   0.123244E+03
   305   0.437921E+04   0.893995E+01   0.123749E+03
   306   0.434444E+04   0.911927E+01   0.124218E+03
   307   0.430959E+04   0.929978E+01   0.124651E+03
   308   0.427466E+04   0.948147E+01   0.125048E+03
   309   0.423965E+04   0.966430E+01   0.125410E+03
   310   0.420457E+04   0.984811E+01   0.125735E+03
   311   0.416946E+04   0.100330E+02   0.126022E+03
   312   0.413429E+04   0.102188E+02   0.126273E+03
   313   0.409909E+04   0.104055E+02   0.126487E+03
   314   0.406387E+04   0.105931E+02   0.126663E+03
   315   0.402864E+04   0.107813E+02   0.126802E+03
   316   0.399341E+04   0.109704E+02   0.126902E+03
   317   0.395819E+04   0.111600E+02   0.126966E+03
   318   0.392300E+04   0.113503E+02   0.126991E+03
   319   0.388783E+04   0.115411E+02   0.126978E+03
   320   0.385270E+04   0.117324E+02   0.126927E+03
   321   0.381763E+04   0.119242E+02   0.126839E+03
   322   0.378261E+04   0.121163E+02   0.126712E+03
   323   0.374767E+04   0.123086E+02   0.126547E+03
   324   0.371281E+04   0.125012E+02   0.126344E+03
   325   0.367804E+04   0.126939E+02   0.126102E+03
   326   0.364336E+04   0.128868E+02   0.125823E+03
   327   0.360880E+04   0.130797E+02   0.125505E+03
   328   0.357435E+04   0.132726E+02   0.125150E+03
   329   0.354003E+04   0.134654E+02   0.124757E+03
   330   0.350585E+04   0.136580E+02   0.124325E+03
   331   0.347181E+04   0.138504E+02   0.123856E+03
   332   0.343793E+04   0.140425E+02   0.123349E+03
   333   0.340420E+04   0.142343E+02   0.122806E+03
   334   0.337065E+04   0.144256E+02   0.122224E+03
   335   0.333728E+04   0.146165E+02   0.121606E+03
   336   0.330411E+04   0.148068E+02   0.120950E+03
   337   0.327112E+04   0.149965E+02   0.120259E+03
   338   0.323834E+04   0.151856E+02   0.119531E+03
   339   0.320578E+04   0.153739E+02   0.118768E+03
   340   0.317344E+04   0.155615E+02   0.117969E+03
   341   0.314132E+04   0.157482E+02   0.117135E+03
   342   0.310944E+04   0.159340E+02   0.116265E+03
   343   0.307781E+04   0.161188E+02   0.115360E+03
   344   0.304641E+04   0.163025E+02   0.114420E+03
   345   0.301526E+04   0.164850E+02   0.113445E+03
   346   0.298437E+04   0.166663E+02   0.112435E+03
   347   0.295374E+04   0.168463E+02   0.111391E+03
   348   0.292337E+04   0.170249E+02   0.110312E+03
   349   0.289328E+04   0.172021E+02   0.109201E+03
   350   0.286347E+04   0.173779E+02   0.108057E+03
   351   0.283395E+04   0.175523E+02   0.106881E+03
   352   0.280474E+04   0.177251E+02   0.105673E+03
   353   0.277584E+04   0.178963E+02   0.104434E+03
   354   0.274725E+04   0.180658E+02   0.103166E+03
   355   0.271900E+04   0.182336E+02   0.101867E+03
   356   0.269107E+04   0.183996E+02   0.100539E+03
   357   0.266347E+04   0.185636E+02   0.991820E+02
   358   0.263622E+04   0.187257E+02   0.977968E+02
   359   0.260932E+04   0.188856E+02   0.963832E+02
