# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
       0.0211966       0.0401351       0.0353804       0.0221804       0.0292861       0.0353998       0.0343805
       0.0223625         0.03969       0.0346151       0.0203882       0.0280892        0.034576         0.03354
       0.0235924       0.0390951       0.0337097       0.0185046       0.0267735        0.033599       0.0325621
       0.0248901       0.0383488       0.0326654       0.0165661       0.0253534       0.0324739       0.0314501
       0.0262591       0.0374517       0.0314867       0.0146142       0.0238479       0.0312078       0.0302108
       0.0277034       0.0364074       0.0301822       0.0126941       0.0222806       0.0298122       0.0288558
       0.0292271       0.0352231       0.0287656       0.0108524       0.0206798       0.0283033       0.0274012
       0.0308347       0.0339089       0.0272541      0.00913323       0.0190765       0.0267014       0.0258669
       0.0325306       0.0324785        0.025669      0.00757582       0.0175035       0.0250321       0.0242768
       0.0343199       0.0309484       0.0240339        0.006211       0.0159926       0.0233234       0.0226565
       0.0362075       0.0293383       0.0223743      0.00505867       0.0145741       0.0216045       0.0210327
        0.038199       0.0276703        0.020716      0.00412703       0.0132735       0.0199031       0.0194319
          0.0403       0.0259675       0.0190841      0.00341284       0.0121108       0.0182454       0.0178788
       0.0425166       0.0242543       0.0175025      0.00290424       0.0110988       0.0166562       0.0163955
       0.0448551       0.0225534        0.015991      0.00258468       0.0102419       0.0151562        0.014999
       0.0473223       0.0208857       0.0145649      0.00243701      0.00953508        0.013759       0.0137007
       0.0499251       0.0192679       0.0132331      0.00244556      0.00896284       0.0124691       0.0125042
        0.052671       0.0177121       0.0119971      0.00259394      0.00849785       0.0112829       0.0114049
       0.0555681       0.0162244       0.0108501      0.00285773      0.00810037       0.0101899       0.0103895
       0.0586244       0.0148049      0.00977893      0.00319319      0.00771907      0.00917202       0.0094377
       0.0618489       0.0134486      0.00876611      0.00352772      0.00729533      0.00820555      0.00852504
       0.0652507       0.0121462      0.00779183      0.00376048      0.00677074      0.00726593      0.00762593
       0.0688396       0.0108874      0.00683782      0.00378146      0.00610025      0.00633375      0.00671863
       0.0726259      0.00966367      0.00589346      0.00350952      0.00526967      0.00539916      0.00579271
       0.0766205      0.00847237      0.00496045      0.00293775       0.0043099      0.00446784      0.00485475
       0.0808348      0.00731916      0.00405432       0.0021598      0.00329793      0.00356402      0.00392978
