# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
       0.0269585        0.015899       0.0141637      0.00835618       0.0116403       0.0142985       0.0139047
       0.0284231       0.0156979       0.0138484      0.00765199       0.0111657       0.0139578       0.0135719
       0.0299673       0.0154402       0.0134803        0.006924       0.0106499       0.0135595       0.0131873
       0.0315953       0.0151258       0.0130603      0.00618655       0.0100991       0.0131058       0.0127524
       0.0333119       0.0147551       0.0125907      0.00545546      0.00952103       0.0126003         0.01227
       0.0351216         0.01433       0.0120754      0.00474726      0.00892503       0.0120484       0.0117447
       0.0370297       0.0138537       0.0115197      0.00407816      0.00832183       0.0114566       0.0111824
       0.0390415       0.0133304       0.0109306        0.003463      0.00772294        0.010833       0.0105907
       0.0411626       0.0127654        0.010316      0.00291416       0.0071401       0.0101868        0.009978
       0.0433989       0.0121653      0.00968481      0.00244064      0.00658446      0.00952767      0.00935365
       0.0457566       0.0115376      0.00904642      0.00204766       0.0060662      0.00886608      0.00872719
       0.0482425       0.0108904      0.00840997      0.00173653       0.0055936      0.00821209      0.00810779
       0.0508635       0.0102323      0.00778421      0.00150519      0.00517236      0.00757511      0.00750391
       0.0536268      0.00957174        0.007177      0.00134936      0.00480528       0.0069631      0.00692287
       0.0565403      0.00891661      0.00659468      0.00126348      0.00449173      0.00638196      0.00637014
        0.059612      0.00827362      0.00604165      0.00124147      0.00422713      0.00583516      0.00584898
       0.0628506      0.00764813      0.00551991      0.00127605      0.00400263      0.00532313      0.00535999
       0.0662652      0.00704337      0.00502853      0.00135679      0.00380445      0.00484343      0.00490066
       0.0698653      0.00646057      0.00456397      0.00146684      0.00361453      0.00439071      0.00446575
       0.0736609      0.00589908      0.00412095      0.00158003      0.00341167      0.00395774      0.00404827
       0.0776628       0.0053567      0.00369309      0.00166072       0.0031745      0.00353639      0.00364038
       0.0818821      0.00483038      0.00327423       0.0016692      0.00288546      0.00311949      0.00323493
       0.0863306      0.00431749      0.00286007       0.0015733      0.00253653      0.00270284      0.00282741
       0.0910208      0.00381693      0.00245027       0.0013635      0.00213488      0.00228738      0.00241831
       0.0959658      0.00333039      0.00204957      0.00106409      0.00170461      0.00188036      0.00201425
        0.101179      0.00286276       0.0016675     0.000730977      0.00128285      0.00149476      0.00162746
        0.106676       0.0024222       0.0013172     0.000432055     0.000909878       0.0011468      0.00127383
        0.112472      0.00201827      0.00101171     0.000217145     0.000615779      0.00085122     0.000968461
        0.118582      0.00166002     0.000760247     9.68874e-05     0.000411119     0.000616816     0.000721212
        0.125025      0.00135335     0.000565331     4.75377e-05     0.000286898     0.000443652     0.000533819
