#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.982287E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.489840E+00
   0.100213E-04   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.499735E+00
   0.102237E-04   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.509829E+00
   0.104302E-04   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.520127E+00
   0.106409E-04   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.530633E+00
   0.108558E-04   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.541352E+00
   0.110751E-04   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.552287E+00
   0.112988E-04   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.563442E+00
   0.115271E-04   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.574823E+00
   0.117599E-04   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.586434E+00
   0.119974E-04   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.598280E+00
   0.122398E-04   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.610365E+00
