# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_ncdm[0]        12:(.)p_ncdm[0]          13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       5.905505600295e+13       2.033672870070e-25       7.365088094957e-09       8.018899925890e+21       1.423913801857e+04       2.411163240258e-10       8.408930931205e+17       4.251886521360e-09       3.346627802545e+43       5.129136599130e+32       7.700748880275e+42       2.566916293425e+42       1.731540006286e-08       2.313572911521e+43       6.430275602145e+43       6.430275602145e+43       2.143425200698e+43      -1.164195809562e+52       4.813776313520e-03       9.739943274628e-01 
       5.842367381797e+13       2.077866018431e-25       7.443304639310e-09       7.848349743486e+21       1.423913801857e+04       2.437220579955e-10       8.319027550461e+17       4.297836480129e-09       3.205785968747e+43       4.966376006913e+32       7.376665158420e+42       2.458888386140e+42       1.731540006286e-08       2.216206884969e+43       6.159659369608e+43       6.159659369608e+43       2.053219789853e+43      -1.103277898012e+52       4.864173882941e-03       9.639027995188e-01 
       5.779904200274e+13       2.123019514938e-25       7.525159162469e-09       7.681426912088e+21       1.423913801857e+04       2.463559520225e-10       8.230085364182e+17       4.344283018162e-09       3.070871421555e+43       4.808780223600e+32       7.066220403425e+42       2.355406801142e+42       1.731540006286e-08       2.122938478630e+43       5.900431940576e+43       5.900431940576e+43       1.966810646842e+43      -1.045547587652e+52       4.914571452363e-03       9.540182432227e-01 
       5.718108838624e+13       2.169154229198e-25       7.605194696225e-09       7.518054283288e+21       1.423913801857e+04       2.490183104314e-10       8.142094095838e+17       4.391231501992e-09       2.941634712878e+43       4.656185356627e+32       6.768840623433e+42       2.256280207811e+42       1.731540006286e-08       2.033595245378e+43       5.652114020646e+43       5.652114020646e+43       1.884038006866e+43      -9.908380835092e+51       4.964969021786e-03       9.443343559006e-01 
       5.656974156908e+13       2.216291482783e-25       7.688868208788e-09       7.358156349507e+21       1.423913801857e+04       2.517094408357e-10       8.055043578770e+17       4.438687356091e-09       2.817836892574e+43       4.508432714155e+32       6.483975982865e+42       2.161325327622e+42       1.731540006286e-08       1.948011995474e+43       5.414246486380e+43       5.414246486380e+43       1.804748828778e+43      -9.389913183552e+51       5.015366591210e-03       9.348450881990e-01 
       5.596493091520e+13       2.264453062922e-25       7.770722731948e-09       7.201659209106e+21       1.423913801857e+04       2.544296541730e-10       7.968923755014e+17       4.486656063633e-09       2.699249066647e+43       4.365368640048e+32       6.211099785807e+42       2.070366595269e+42       1.731540006286e-08       1.866030491139e+43       5.186389536410e+43       5.186389536410e+43       1.728796512122e+43      -8.898574960136e+51       5.065764160635e-03       9.255446315143e-01 
       5.536658654378e+13       2.313661227325e-25       7.854396244511e-09       7.048490532220e+21       1.423913801857e+04       2.571792647414e-10       7.883724674140e+17       4.535143166951e-09       2.585651974035e+43       4.226844354066e+32       5.949707502188e+42       1.983235834063e+42       1.731540006286e-08       1.787499153984e+43       4.968121878280e+43       4.968121878280e+43       1.656040626079e+43      -8.432946585689e+51       5.116161730060e-03       9.164274060954e-01 
       5.477463932109e+13       2.363938720859e-25       7.939888746478e-09       6.898579527337e+21       1.423913801857e+04       2.599585902355e-10       7.799436492104e+17       4.584154268386e-09       2.476835581215e+43       4.092715797147e+32       5.699315834931e+42       1.899771944977e+42       1.731540006286e-08       1.712272784751e+43       4.759039949500e+43       4.759039949500e+43       1.586346649820e+43      -7.991682762203e+51       5.166559299486e-03       9.074880499280e-01 
       5.418902085255e+13       2.415308778821e-25       8.025381248444e-09       6.751856908575e+21       1.423913801857e+04       2.627679517834e-10       7.716049470106e+17       4.633695030700e-09       2.372598693860e+43       3.962843481594e+32       5.459461826376e+42       1.819820608792e+42       1.731540006286e-08       1.640212294851e+43       4.558757171388e+43       4.558757171388e+43       1.519585723783e+43      -7.573508585964e+51       5.216956868913e-03       8.987214081674e-01 
       5.360966347481e+13       2.467795145478e-25       8.112692739815e-09       6.608254863660e+21       1.423913801857e+04       2.656076739833e-10       7.633553973470e+17       4.683771177981e-09       2.272748584847e+43       3.837092346006e+32       5.229702002296e+42       1.743234000765e+42       1.731540006286e-08       1.571184449194e+43       4.366903234309e+43       4.366903234309e+43       1.455634411424e+43      -7.177215864092e+51       5.267354438342e-03       8.901225232795e-01 
       5.303650024796e+13       2.521422077355e-25       8.200004231185e-09       6.467707022586e+21       1.423913801857e+04       2.684780849415e-10       7.551940470526e+17       4.734388496060e-09       2.177100637917e+43       3.715331614827e+32       5.009611551945e+42       1.669870517315e+42       1.731540006286e-08       1.505061619852e+43       4.183123413001e+43       4.183123413001e+43       1.394374470988e+43      -6.801659623815e+51       5.317752007772e-03       8.816866256414e-01 
       5.246946494773e+13       2.576214360483e-25       8.289134711958e-09       6.330148426939e+21       1.423913801857e+04       2.713795163102e-10       7.471199531513e+17       4.785552833371e-09       2.085478006332e+43       3.597434662343e+32       4.798783542612e+42       1.599594514204e+42       1.731540006286e-08       1.441721550079e+43       4.007077910708e+43       4.007077910708e+43       1.335692636891e+43      -6.445754804407e+51       5.368149577205e-03       8.734091247590e-01 
       5.190849205793e+13       2.632197318824e-25       8.378265192732e-09       6.195515499875e+21       1.423913801857e+04       2.743123033256e-10       7.391321827487e+17       4.837270101529e-09       1.997711285894e+43       3.483278880996e+32       4.596828167227e+42       1.532276055742e+42       1.731540006286e-08       1.381047128267e+43       3.838441230919e+43       3.838441230919e+43       1.279480410295e+43      -6.108473122217e+51       5.418547146636e-03       8.652856009180e-01 
