#           k/h    P           
   0.106938E+02   0.125031E-13
   0.109098E+02   0.930550E-14
   0.111302E+02   0.315521E-14
   0.113550E+02   0.126554E-14
   0.115844E+02   0.624708E-15
   0.118184E+02   0.249347E-15
   0.120572E+02   0.962708E-16
   0.123007E+02   0.794862E-16
   0.125492E+02   0.177837E-15
   0.128027E+02   0.427860E-15
   0.130614E+02   0.460313E-15
   0.133252E+02   0.195031E-15
   0.135944E+02   0.382795E-16
   0.138691E+02   0.975556E-17
   0.141492E+02   0.133608E-16
   0.144351E+02   0.903919E-16
   0.147267E+02   0.606754E-15
   0.150242E+02   0.138245E-14
   0.153277E+02   0.118537E-14
   0.156373E+02   0.449555E-15
   0.159532E+02   0.647239E-16
   0.162755E+02   0.339447E-17
   0.166043E+02   0.327928E-18
   0.169397E+02   0.611927E-18
   0.172819E+02   0.124089E-16
   0.176310E+02   0.837199E-16
   0.179872E+02   0.362497E-16
   0.183505E+02   0.869932E-17
   0.187212E+02   0.808355E-17
   0.190994E+02   0.157006E-16
   0.194853E+02   0.206360E-16
   0.198789E+02   0.170419E-16
   0.202805E+02   0.138637E-16
   0.206902E+02   0.133016E-16
