#           k/h    P           
   0.296558E+02   0.972706E+00
   0.302549E+02   0.929546E+00
   0.308661E+02   0.888230E+00
   0.314897E+02   0.848669E+00
   0.321258E+02   0.810806E+00
   0.327748E+02   0.774600E+00
   0.334369E+02   0.739982E+00
   0.341123E+02   0.706863E+00
   0.348014E+02   0.675167E+00
   0.355045E+02   0.644837E+00
   0.362217E+02   0.615821E+00
   0.369535E+02   0.588076E+00
   0.377000E+02   0.561562E+00
   0.384616E+02   0.536233E+00
