#    L    TT             EE             TE          
   471   0.232806E+04   0.147185E+02  -0.870875E+02
   472   0.234007E+04   0.145188E+02  -0.870595E+02
   473   0.235207E+04   0.143195E+02  -0.869926E+02
   474   0.236403E+04   0.141208E+02  -0.868890E+02
   475   0.237597E+04   0.139227E+02  -0.867471E+02
   476   0.238787E+04   0.137255E+02  -0.865675E+02
   477   0.239972E+04   0.135291E+02  -0.863511E+02
   478   0.241153E+04   0.133337E+02  -0.860977E+02
   479   0.242330E+04   0.131395E+02  -0.858083E+02
   480   0.243501E+04   0.129466E+02  -0.854823E+02
   481   0.244666E+04   0.127548E+02  -0.851204E+02
   482   0.245824E+04   0.125646E+02  -0.847228E+02
   483   0.246974E+04   0.123760E+02  -0.842899E+02
   484   0.248115E+04   0.121890E+02  -0.838220E+02
   485   0.249246E+04   0.120037E+02  -0.833192E+02
   486   0.250367E+04   0.118203E+02  -0.827821E+02
   487   0.251477E+04   0.116389E+02  -0.822108E+02
   488   0.252574E+04   0.114596E+02  -0.816059E+02
   489   0.253661E+04   0.112823E+02  -0.809678E+02
   490   0.254734E+04   0.111074E+02  -0.802969E+02
   491   0.255794E+04   0.109349E+02  -0.795937E+02
   492   0.256842E+04   0.107648E+02  -0.788585E+02
   493   0.257876E+04   0.105973E+02  -0.780921E+02
   494   0.258897E+04   0.104324E+02  -0.772946E+02
   495   0.259903E+04   0.102704E+02  -0.764667E+02
   496   0.260894E+04   0.101112E+02  -0.756087E+02
   497   0.261869E+04   0.995487E+01  -0.747213E+02
   498   0.262828E+04   0.980162E+01  -0.738048E+02
   499   0.263770E+04   0.965148E+01  -0.728599E+02
   500   0.264694E+04   0.950462E+01  -0.718869E+02
   501   0.265599E+04   0.936104E+01  -0.708863E+02
   502   0.266486E+04   0.922090E+01  -0.698591E+02
   503   0.267353E+04   0.908422E+01  -0.688055E+02
   504   0.268201E+04   0.895123E+01  -0.677267E+02
   505   0.269030E+04   0.882186E+01  -0.666231E+02
